"Crude rate per 100,000 population","Age-adjusted rate per 100,000 population",Codeine Prescriptions Despensed  in Province from 2016,Fentanyl Prescriptions Despensed in Province from 2016,Hydromorphone Prescriptions Despensed  in Province from 2016,Morphine Prescriptions Despensed  in Province from 2016,Oxycodone Prescriptions Despensed  in Province from 2016,Tramadol Prescriptions Despensed  in Province from 2016,Median Income 2015,
Norfolk County,Ont.,18,27.2,29.4,173.2,20.5,141.9,47.4,192.9,37.7,"32,301",
Welland,Ont.,15,27.8,25.7,173.2,20.5,141.9,47.4,192.9,37.7,,
City of Peterborough,Ont.,22,26.1,25.4,173.2,20.5,141.9,47.4,192.9,37.7,"31,867	",
Niagara Falls,Ont.,23,26.1,24.8,173.2,20.5,141.9,47.4,192.9,37.7,"30,981",
North Bay,Ont.,12,21.7,24.1,173.2,20.5,141.9,47.4,192.9,37.7,"33,172",
City of Hamilton,Ont.,134,23.6,23.4,173.2,20.5,141.9,47.4,192.9,37.7,"35,319",
City of Oshawa,Ont.,40,23.5,21.9,173.2,20.5,141.9,47.4,192.9,37.7,"37,988",
City of London,Ont.,88,21.7,20.9,173.2,20.5,141.9,47.4,192.9,37.7,"33,564",
Sarnia,Ont.,16,21.7,19.6,173.2,20.5,141.9,47.4,192.9,37.7,"35,349",
City of Windsor,Ont.,43,19.2,19.5,173.2,20.5,141.9,47.4,192.9,37.7,"32,971",
City of Greater Sudbury / Grand Sudbury,Ont.,31,18.8,19.2,173.2,20.5,141.9,47.4,192.9,37.7,"37,763",
City of Barrie,Ont.,27,17.6,18.2,173.2,20.5,141.9,47.4,192.9,37.7,"34,568",
City of Kingston,Ont.,25,18.7,17.9,173.2,20.5,141.9,47.4,192.9,37.7,"36,174",
City of Guelph,Ont.,23,17.0,17.4,173.2,20.5,141.9,47.4,192.9,37.7,"38,262",
Cambridge,Ont.,22,15.8,16.0,173.2,20.5,141.9,47.4,192.9,37.7,"37,099",
Kitchener,Ont.,32,13.2,12.7,173.2,20.5,141.9,47.4,192.9,37.7,"35,709",
Kawartha Lakes,Ont.,10,12.9,12.2,173.2,20.5,141.9,47.4,192.9,37.7,"32,302",
Burlington,Ont.,22,10.7,10.9,173.2,20.5,141.9,47.4,192.9,37.7,,
Clarington,Ont.,10,10.6,10.7,173.2,20.5,141.9,47.4,192.9,37.7,,
Ottawa,Ont.,103,10.4,10.4,173.2,20.5,141.9,47.4,192.9,37.7,"41,241",
Newmarket,Ont.,9,10.0,10.2,173.2,20.5,141.9,47.4,192.9,37.7,,
Mississauga,Ont.,83,10.0,10.0,173.2,20.5,141.9,47.4,192.9,37.7,,
Milton,Ont.,7,7.3,9.4,173.2,20.5,141.9,47.4,192.9,37.7,,
City of Toronto,Ont.,261,8.9,8.8,173.2,20.5,141.9,47.4,192.9,37.7,"31,705",
Oakville,Ont.,15,7.1,7.8,173.2,20.5,141.9,47.4,192.9,37.7,,
Brampton,Ont.,44,7.3,7.6,173.2,20.5,141.9,47.4,192.9,37.7,,
Vaughan,Ont.,23,7.1,7.2,173.2,20.5,141.9,47.4,192.9,37.7,,
Waterloo,Ont.,8,7.3,7.0,173.2,20.5,141.9,47.4,192.9,37.7,"35,709",
Richmond Hill,Ont.,14,6.7,6.6,173.2,20.5,141.9,47.4,192.9,37.7,,
Pickering,Ont.,6,6.0,6.3,173.2,20.5,141.9,47.4,192.9,37.7,,
Whitby,Ont.,8,5.9,6.0,173.2,20.5,141.9,47.4,192.9,37.7,,
Markham,Ont.,12,3.5,3.4,173.2,20.5,141.9,47.4,192.9,37.7,,
Brandon,Man.,12,23.3,26.4,381.7,16.7,76.5,32.0,89.5,48.6,"37,709",
City of Winnipeg,Man.,89,11.9,11.8,381.7,16.7,76.5,32.0,89.5,48.6,"35,706",
City of Regina,Sask.,52,22.7,23.0,163.6,22.4,152.2,47.4,33.3,43.9,"43,434",
City of Saskatoon,Sask.,58,21.2,21.8,163.6,22.4,152.2,47.4,33.3,43.9,"40,641",
Medicine Hat,Alta.,26,40.3,43.8,209.2,11.8,62.5,38.3,129.6,73.0,"37,274",
Red Deer,Alta.,33,31.9,30.9,209.2,11.8,62.5,38.3,129.6,73.0,"41,109",
Grande Prairie,Alta.,19,30.8,32.0,209.2,11.8,62.5,38.3,129.6,73.0,"48,048",
Lethbridge,Alta.,24,25.4,26.7,209.2,11.8,62.5,38.3,129.6,73.0,"37,099",
City of Edmonton,Alta.,201,20.5,21.0,209.2,11.8,62.5,38.3,129.6,73.0,"43,900",
City of Calgary,Alta.,229,17.1,17.8,209.2,11.8,62.5,38.3,129.6,73.0,"43,974",
Airdrie,Alta.,6,11.6,13.1,209.2,11.8,62.5,38.3,129.6,73.0,,
Strathcona County,Alta.,10,9.0,9.5,209.2,11.8,62.5,38.3,129.6,73.0,,
Wood Buffalo,Alta.,7,10.0,8.8,209.2,11.8,62.5,38.3,129.6,73.0,"76,004",
St. Albert,Alta.,5,6.8,7.6,209.2,11.8,62.5,38.3,129.6,73.0,,
Prince George,B.C.,43,57.9,57.7,249.3,12.8,100.4,60.2,65.8,65.5,"32,352",
Nanaimo,B.C.,49,53.9,57.7,249.3,12.8,100.4,60.2,65.8,65.5,"32,352",
City of Kelowna,B.C.,69,52.2,54.7,249.3,12.8,100.4,60.2,65.8,65.5,"34,509",
Kamloops,B.C.,47,52.1,51.6,249.3,12.8,100.4,60.2,65.8,65.5,"35,642",
City of Victoria,B.C.,36,40.5,40.4,249.3,12.8,100.4,60.2,65.8,65.5,"37,481",
Port Coquitlam,B.C.,23,37.4,37.4,249.3,12.8,100.4,60.2,65.8,65.5,,
Surrey,B.C.,178,34.3,35.1,249.3,12.8,100.4,60.2,65.8,65.5,,
Abbotsford,B.C.,43,28.7,28.7,249.3,12.8,100.4,60.2,65.8,65.5,"30,370	",
Maple Ridge,B.C.,22,26.3,27.1,249.3,12.8,100.4,60.2,65.8,65.5,,
Delta,B.C.,27,24.4,26.6,249.3,12.8,100.4,60.2,65.8,65.5,,
Chilliwack,B.C.,21,24.0,24.4,249.3,12.8,100.4,60.2,65.8,65.5,"31,679",
New Westminster,B.C.,16,21.8,21.4,249.3,12.8,100.4,60.2,65.8,65.5,,
Langley,B.C.,23,20.0,20.2,249.3,12.8,100.4,60.2,65.8,65.5,,
City of Vancouver,B.C.,138,20.4,19.8,249.3,12.8,100.4,60.2,65.8,65.8,"32,612",
Coquitlam,B.C.,20,14.3,14.6,249.3,12.8,100.4,60.2,65.8,65.5,,
North Vancouver (district municipality),B.C.,11,11.8,13.3,249.3,12.8,100.4,60.2,65.8,65.5,,
Burnaby,B.C.,32,12.8,12.1,249.3,12.8,100.4,60.2,65.8,65.5,,
Saanich,B.C.,13,10.9,11.9,249.3,12.8,100.4,60.2,65.8,65.5,,
Richmond,B.C.,24,11.3,11.1,249.3,12.8,100.4,60.2,65.8,65.5,,
